type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-08-30 11:02:56,22.57398886,88.42804958,3,-49.000,,3.670,130,22,30,20210830-163256,GPS Logger: 20210830-163256
T,2021-08-30 11:02:57,22.57396962,88.42807707,3,-49.000,,4.430,128,23,30,,
T,2021-08-30 11:02:58,22.57394687,88.42811245,2,-50.000,,5.130,124,22,29,,
T,2021-08-30 11:02:59,22.57392805,88.42815561,2,-50.000,,5.440,121,22,29,,
T,2021-08-30 11:03:00,22.57390684,88.42820968,2,-51.000,,6.940,118,23,30,,
T,2021-08-30 11:03:01,22.57388396,88.42827916,2,-51.000,,7.540,114,22,32,,
T,2021-08-30 11:03:02,22.57386196,88.42834907,2,-52.000,,7.390,114,23,33,,
T,2021-08-30 11:03:03,22.57383103,88.42842191,3,-52.000,,8.440,116,22,34,,
T,2021-08-30 11:03:04,22.57379788,88.42849307,3,-53.000,,8.620,117,22,34,,
T,2021-08-30 11:03:05,22.57376402,88.42857429,3,-53.000,,9.020,116,23,34,,
T,2021-08-30 11:03:06,22.57372592,88.42865475,3,-53.000,,8.630,118,24,34,,
T,2021-08-30 11:03:07,22.57369269,88.42872877,3,-53.000,,8.230,116,24,33,,
T,2021-08-30 11:03:08,22.57366163,88.42880093,3,-54.000,,8.110,114,24,33,,
T,2021-08-30 11:03:09,22.57363196,88.42887126,3,-54.000,,7.850,117,23,33,,
T,2021-08-30 11:03:10,22.57360015,88.42894435,2,-54.000,,8.260,119,23,32,,
T,2021-08-30 11:03:11,22.57356545,88.42902255,2,-55.000,,8.720,120,23,30,,
T,2021-08-30 11:03:12,22.57352781,88.42910444,2,-55.000,,9.190,118,23,30,,
T,2021-08-30 11:03:13,22.57349127,88.42918860,2,-55.000,,9.030,116,24,29,,
T,2021-08-30 11:03:14,22.57345309,88.42926580,2,-55.000,,8.980,116,24,30,,
T,2021-08-30 11:03:15,22.57341600,88.42934291,2,-55.000,,8.380,117,23,30,,
T,2021-08-30 11:03:16,22.57338277,88.42941835,2,-55.000,,8.310,117,24,30,,
T,2021-08-30 11:03:17,22.57335054,88.42949370,2,-56.000,,8.230,117,24,30,,
T,2021-08-30 11:03:18,22.57332363,88.42956335,2,-56.000,,7.510,115,24,29,,
T,2021-08-30 11:03:19,22.57329777,88.42963049,2,-56.000,,6.780,116,24,29,,
T,2021-08-30 11:03:20,22.57327669,88.42969386,2,-55.000,,6.740,116,22,29,,
T,2021-08-30 11:03:21,22.57325104,88.42975597,2,-56.000,,6.940,116,22,29,,
T,2021-08-30 11:03:22,22.57322540,88.42982235,2,-56.000,,7.750,117,21,29,,
T,2021-08-30 11:03:23,22.57319727,88.42989050,2,-56.000,,7.940,116,23,29,,
T,2021-08-30 11:03:24,22.57316643,88.42996057,2,-56.000,,8.080,116,20,26,,
T,2021-08-30 11:03:25,22.57313454,88.43003483,2,-56.000,,8.120,116,21,27,,
