type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-06 14:17:29,22.56760826,88.43315567,5,-43.000,,0.000,,22,27,20210906-194729,GPS Logger: 20210906-194729
T,2021-09-06 14:17:30,22.56760386,88.43314821,5,-46.000,,0.140,112,22,28,,
T,2021-09-06 14:19:46,22.56768873,88.43298828,3,-49.000,,0.000,,22,30,,
T,2021-09-06 14:19:47,22.56769103,88.43298451,3,-49.000,,0.450,328,23,30,,
T,2021-09-06 14:19:48,22.56769372,88.43298317,3,-49.000,,1.150,326,22,30,,
T,2021-09-06 14:19:49,22.56770365,88.43297680,3,-49.000,,1.250,329,22,27,,
T,2021-09-06 14:19:50,22.56771677,88.43297353,3,-49.000,,0.930,337,23,29,,
T,2021-09-06 14:19:51,22.56771903,88.43297127,3,-49.000,,0.130,339,22,30,,
T,2021-09-06 14:19:52,22.56771786,88.43297194,3,-49.000,,0.200,342,24,31,,
T,2021-09-06 14:19:53,22.56771714,88.43297328,3,-48.000,,0.040,343,21,28,,
T,2021-09-06 14:19:54,22.56771714,88.43297336,3,-48.000,,0.000,,22,31,,
T,2021-09-06 14:19:55,22.56771714,88.43297336,3,-48.000,,0.000,,23,32,,
T,2021-09-06 14:19:56,22.56771714,88.43297336,3,-48.000,,0.000,,22,32,,
T,2021-09-06 14:19:57,22.56772494,88.43297395,3,-47.000,,0.530,353,24,31,,
T,2021-09-06 14:19:58,22.56773164,88.43296984,3,-47.000,,0.570,359,23,31,,
T,2021-09-06 14:19:59,22.56774225,88.43297102,3,-46.000,,1.220,357,24,32,,
T,2021-09-06 14:20:00,22.56775972,88.43297051,3,-46.000,,2.040,351,23,32,,
T,2021-09-06 14:20:01,22.56777682,88.43295953,3,-46.000,,2.260,325,22,31,,
T,2021-09-06 14:20:02,22.56778181,88.43294302,3,-46.000,,1.830,302,20,31,,
T,2021-09-06 14:20:03,22.56778303,88.43291645,4,-46.000,,2.820,277,21,29,,
T,2021-09-06 14:20:04,22.56779074,88.43289030,4,-46.000,,2.420,285,21,30,,
T,2021-09-06 14:20:05,22.56779883,88.43287043,3,-46.000,,2.360,289,24,31,,
T,2021-09-06 14:20:06,22.56781287,88.43284311,3,-46.000,,3.170,290,22,31,,
T,2021-09-06 14:20:07,22.56782498,88.43281562,3,-46.000,,2.910,300,23,30,,
T,2021-09-06 14:20:08,22.56784115,88.43278611,3,-47.000,,3.340,303,24,31,,
T,2021-09-06 14:20:09,22.56785507,88.43275166,3,-47.000,,3.830,301,23,30,,
T,2021-09-06 14:20:10,22.56786894,88.43271956,3,-47.000,,3.580,299,23,30,,
T,2021-09-06 14:20:11,22.56788168,88.43268662,3,-48.000,,3.600,300,22,30,,
T,2021-09-06 14:20:12,22.56789899,88.43265032,3,-48.000,,4.250,305,23,30,,
T,2021-09-06 14:20:13,22.56790737,88.43261110,3,-47.000,,3.920,299,20,30,,
T,2021-09-06 14:20:14,22.56792246,88.43257195,3,-47.000,,4.850,298,22,32,,
T,2021-09-06 14:20:15,22.56794417,88.43252669,3,-47.000,,5.320,296,23,30,,
T,2021-09-06 14:20:16,22.56796571,88.43248730,3,-47.000,,4.210,297,20,29,,
T,2021-09-06 14:20:17,22.56798344,88.43244832,3,-48.000,,4.740,294,21,31,,
T,2021-09-06 14:20:18,22.56800108,88.43239543,4,-49.000,,6.240,290,21,32,,
T,2021-09-06 14:20:19,22.56802514,88.43233592,4,-49.000,,6.140,293,21,30,,
T,2021-09-06 14:20:20,22.56804794,88.43228370,4,-49.000,,5.700,293,17,28,,
T,2021-09-06 14:20:21,22.56807400,88.43223617,4,-49.000,,5.490,296,18,29,,
T,2021-09-06 14:20:22,22.56809693,88.43219049,4,-49.000,,5.560,296,20,32,,
T,2021-09-06 14:20:23,22.56812027,88.43214297,4,-49.000,,5.670,295,23,30,,
T,2021-09-06 14:20:24,22.56814051,88.43209930,4,-49.000,,5.440,293,24,31,,
T,2021-09-06 14:20:25,22.56815615,88.43205479,4,-48.000,,4.310,293,23,31,,
T,2021-09-06 14:20:26,22.56818452,88.43201405,4,-49.000,,4.730,298,22,30,,
T,2021-09-06 14:20:27,22.56820539,88.43197080,4,-49.000,,4.670,298,24,30,,
T,2021-09-06 14:20:28,22.56822861,88.43192814,4,-49.000,,4.790,295,23,30,,
T,2021-09-06 14:20:29,22.56824948,88.43188698,3,-50.000,,5.030,292,23,29,,
T,2021-09-06 14:20:30,22.56827123,88.43183778,3,-50.000,,5.240,293,23,30,,
T,2021-09-06 14:20:31,22.56828942,88.43178355,3,-51.000,,5.870,294,23,30,,
T,2021-09-06 14:20:32,22.56830815,88.43172672,3,-51.000,,5.700,297,24,30,,
T,2021-09-06 14:20:33,22.56832907,88.43167434,3,-51.000,,6.080,296,22,31,,
T,2021-09-06 14:20:34,22.56835543,88.43162212,3,-50.000,,6.060,297,20,31,,
T,2021-09-06 14:20:35,22.56837936,88.43156973,3,-50.000,,6.010,296,21,31,,
T,2021-09-06 14:20:36,22.56840128,88.43151340,3,-50.000,,6.440,295,20,30,,
T,2021-09-06 14:20:37,22.56842764,88.43145506,3,-50.000,,6.600,293,20,29,,
T,2021-09-06 14:20:38,22.56844960,88.43139614,3,-49.000,,6.080,291,23,28,,
T,2021-09-06 14:20:39,22.56846678,88.43134048,3,-49.000,,5.960,290,21,29,,
T,2021-09-06 14:20:40,22.56848765,88.43128634,3,-48.000,,5.490,289,22,28,,
T,2021-09-06 14:20:41,22.56850840,88.43123688,3,-48.000,,5.430,293,23,28,,
T,2021-09-06 14:20:42,22.56852868,88.43119263,3,-48.000,,5.060,294,23,28,,
T,2021-09-06 14:20:43,22.56854666,88.43115256,3,-48.000,,3.850,295,24,28,,
T,2021-09-06 14:20:44,22.56856292,88.43111929,3,-48.000,,3.800,296,23,28,,
T,2021-09-06 14:20:45,22.56858031,88.43108685,3,-48.000,,3.290,296,22,28,,
T,2021-09-06 14:20:46,22.56859745,88.43105651,4,-48.000,,3.340,296,21,28,,
T,2021-09-06 14:20:47,22.56861434,88.43102817,4,-48.000,,2.710,296,22,26,,
T,2021-09-06 14:20:48,22.56862570,88.43101032,4,-48.000,,0.940,296,21,26,,
T,2021-09-06 14:20:49,22.56863048,88.43100127,4,-48.000,,0.640,292,23,28,,
T,2021-09-06 14:20:50,22.56863593,88.43099708,4,-48.000,,0.020,291,23,28,,
T,2021-09-06 14:20:51,22.56863982,88.43099850,4,-48.000,,0.180,290,23,29,,
T,2021-09-06 14:20:52,22.56864117,88.43099993,4,-48.000,,0.240,290,23,27,,
T,2021-09-06 14:20:53,22.56864158,88.43100336,4,-47.000,,0.000,,23,28,,
T,2021-09-06 14:20:54,22.56864158,88.43100336,4,-47.000,,0.000,,24,28,,
T,2021-09-06 14:20:55,22.56864699,88.43099808,4,-47.000,,1.010,302,23,28,,
T,2021-09-06 14:20:56,22.56865445,88.43098182,4,-47.000,,2.060,298,24,28,,
T,2021-09-06 14:20:57,22.56866254,88.43095810,4,-46.000,,2.490,299,23,27,,
T,2021-09-06 14:20:58,22.56867004,88.43093581,4,-46.000,,1.790,302,24,27,,
T,2021-09-06 14:20:59,22.56868152,88.43092332,4,-46.000,,1.580,310,22,27,,
T,2021-09-06 14:21:00,22.56869494,88.43090546,4,-46.000,,1.890,301,21,27,,
T,2021-09-06 14:21:01,22.56870835,88.43088325,4,-46.000,,2.800,296,20,27,,
T,2021-09-06 14:21:02,22.56872641,88.43085459,4,-46.000,,4.500,300,22,27,,
T,2021-09-06 14:21:03,22.56875700,88.43080807,3,-45.000,,4.640,300,23,27,,
T,2021-09-06 14:21:04,22.56878223,88.43076222,3,-45.000,,4.910,297,22,27,,
T,2021-09-06 14:21:05,22.56879841,88.43072232,3,-45.000,,4.280,293,21,26,,
T,2021-09-06 14:21:06,22.56881517,88.43068376,3,-45.000,,4.030,292,22,26,,
T,2021-09-06 14:21:07,22.56883043,88.43064227,3,-45.000,,3.930,294,21,26,,
T,2021-09-06 14:21:08,22.56884644,88.43059818,3,-44.000,,5.470,297,22,26,,
T,2021-09-06 14:21:09,22.56887469,88.43054462,3,-44.000,,6.690,297,23,26,,
T,2021-09-06 14:21:10,22.56889971,88.43048402,3,-45.000,,6.600,296,22,28,,
T,2021-09-06 14:21:11,22.56892255,88.43042568,3,-45.000,,6.020,296,21,27,,
T,2021-09-06 14:21:12,22.56894673,88.43036550,3,-45.000,,6.980,297,21,28,,
T,2021-09-06 14:21:13,22.56897678,88.43030021,3,-45.000,,7.150,296,20,27,,
T,2021-09-06 14:21:14,22.56900670,88.43023005,4,-45.000,,7.470,297,22,28,,
T,2021-09-06 14:21:15,22.56904010,88.43016459,3,-45.000,,7.210,297,23,27,,
T,2021-09-06 14:21:16,22.56906923,88.43009954,3,-44.000,,7.410,294,23,27,,
T,2021-09-06 14:21:17,22.56909823,88.43002939,3,-44.000,,8.000,296,21,25,,
T,2021-09-06 14:21:18,22.56912790,88.42996174,3,-44.000,,7.730,295,21,26,,
T,2021-09-06 14:21:19,22.56915975,88.42989033,3,-44.000,,7.790,294,23,29,,
T,2021-09-06 14:21:20,22.56919190,88.42982872,3,-45.000,,7.580,294,22,29,,
T,2021-09-06 14:21:21,22.56922719,88.42976217,3,-45.000,,8.190,296,22,29,,
T,2021-09-06 14:21:22,22.56926520,88.42969302,3,-45.000,,8.220,297,23,29,,
T,2021-09-06 14:21:23,22.56930124,88.42961884,3,-46.000,,8.750,297,24,29,,
T,2021-09-06 14:21:24,22.56934139,88.42953846,3,-47.000,,8.990,296,23,30,,
T,2021-09-06 14:21:25,22.56937576,88.42946034,3,-47.000,,8.670,295,23,30,,
T,2021-09-06 14:21:26,22.56941142,88.42938046,3,-47.000,,8.340,295,22,31,,
T,2021-09-06 14:21:27,22.56944541,88.42930561,3,-46.000,,7.950,298,23,32,,
T,2021-09-06 14:21:28,22.56947739,88.42923168,3,-46.000,,8.270,295,23,31,,
T,2021-09-06 14:21:29,22.56950978,88.42915641,3,-46.000,,8.460,292,23,31,,
T,2021-09-06 14:21:30,22.56953857,88.42908802,3,-46.000,,8.250,295,23,29,,
T,2021-09-06 14:21:31,22.56957227,88.42901434,3,-46.000,,8.720,295,21,28,,
T,2021-09-06 14:21:32,22.56961120,88.42893639,3,-46.000,,8.670,295,20,27,,
T,2021-09-06 14:21:33,22.56964121,88.42885617,3,-45.000,,8.830,289,19,30,,
T,2021-09-06 14:21:34,22.56966254,88.42878233,3,-45.000,,7.910,288,22,31,,
T,2021-09-06 14:21:35,22.56969318,88.42871284,3,-45.000,,7.860,293,22,31,,
T,2021-09-06 14:21:36,22.56972423,88.42863975,3,-45.000,,7.960,295,22,32,,
T,2021-09-06 14:21:37,22.56976078,88.42857077,3,-46.000,,7.780,297,21,32,,
T,2021-09-06 14:21:38,22.56979309,88.42850748,3,-46.000,,7.300,298,21,33,,
T,2021-09-06 14:21:39,22.56982310,88.42844428,3,-47.000,,7.630,296,19,33,,
T,2021-09-06 14:21:40,22.56985248,88.42837731,3,-47.000,,8.060,295,22,34,,
T,2021-09-06 14:21:41,22.56988215,88.42830699,3,-47.000,,7.830,297,23,34,,
T,2021-09-06 14:21:42,22.56991312,88.42824236,3,-47.000,,7.460,295,22,34,,
T,2021-09-06 14:21:43,22.56994296,88.42816944,3,-47.000,,7.950,295,22,34,,
T,2021-09-06 14:21:44,22.56997347,88.42810038,3,-47.000,,7.330,297,22,33,,
T,2021-09-06 14:21:45,22.57000088,88.42803969,3,-47.000,,7.060,297,22,33,,
