type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-06 14:27:45,22.57367865,88.42840668,12,-58.655,,5.270,115,,40,20210906-195745,GPS Logger: 20210906-195745 - Shrayan 2
T,2021-09-06 14:27:46,22.57362767,88.42849215,12,-57.309,,6.430,122,,40,,
T,2021-09-06 14:27:47,22.57359677,88.42851224,13,-60.088,,6.420,116,,40,,
T,2021-09-06 14:27:48,22.57357890,88.42856162,12,-59.713,,6.270,115,,40,,
T,2021-09-06 14:27:49,22.57358285,88.42862451,12,-59.645,,6.040,114,,40,,
T,2021-09-06 14:27:50,22.57359251,88.42870736,11,-58.721,,6.070,119,,40,,
T,2021-09-06 14:27:51,22.57355760,88.42878253,11,-58.373,,7.670,118,,40,,
T,2021-09-06 14:27:52,22.57352470,88.42884992,11,-58.673,,8.360,117,,40,,
T,2021-09-06 14:27:53,22.57351211,88.42891304,11,-56.751,,7.460,116,,40,,
T,2021-09-06 14:27:54,22.57347963,88.42897340,11,-54.027,,7.560,118,,40,,
T,2021-09-06 14:27:55,22.57346663,88.42902596,11,-53.649,,7.120,114,,40,,
T,2021-09-06 14:27:56,22.57344334,88.42908023,11,-54.948,,7.070,117,,40,,
T,2021-09-06 14:27:57,22.57341967,88.42914658,11,-54.160,,7.600,116,,40,,
T,2021-09-06 14:27:58,22.57338750,88.42923161,10,-52.744,,8.150,105,,40,,
T,2021-09-06 14:27:59,22.57334537,88.42930106,10,-53.980,,8.310,117,,40,,
T,2021-09-06 14:28:00,22.57331909,88.42937121,10,-55.096,,8.060,115,,40,,
T,2021-09-06 14:28:01,22.57327128,88.42945103,10,-55.075,,8.420,120,,40,,
T,2021-09-06 14:28:02,22.57324017,88.42954486,10,-53.033,,9.280,117,,40,,
T,2021-09-06 14:28:03,22.57319559,88.42962964,10,-53.170,,9.700,115,,40,,
T,2021-09-06 14:28:04,22.57314839,88.42971931,10,-54.600,,10.380,119,,40,,
T,2021-09-06 14:28:05,22.57310851,88.42980037,10,-55.356,,10.280,119,,40,,
T,2021-09-06 14:28:06,22.57306924,88.42989609,10,-55.021,,10.310,116,,40,,
T,2021-09-06 14:28:07,22.57303071,88.42998089,10,-54.452,,9.980,118,,40,,
T,2021-09-06 14:28:08,22.57300276,88.43007141,10,-54.014,,9.780,112,,40,,
T,2021-09-06 14:28:09,22.57296496,88.43014382,10,-55.121,,9.420,115,,40,,
T,2021-09-06 14:28:10,22.57292452,88.43023825,10,-54.819,,9.630,120,,40,,
T,2021-09-06 14:28:11,22.57288879,88.43030911,10,-55.297,,9.130,116,,40,,
T,2021-09-06 14:28:12,22.57285952,88.43038525,10,-55.105,,8.430,114,,40,,
T,2021-09-06 14:28:13,22.57281954,88.43046142,10,-55.304,,8.580,114,,40,,
T,2021-09-06 14:28:14,22.57278776,88.43052448,11,-54.875,,7.810,112,,40,,
T,2021-09-06 14:28:15,22.57278583,88.43052379,10,-54.452,,4.250,114,,40,,
T,2021-09-06 14:28:16,22.57276303,88.43057020,10,-54.277,,4.200,118,,40,,
T,2021-09-06 14:28:17,22.57274027,88.43059861,10,-53.321,,3.810,117,,40,,
T,2021-09-06 14:28:18,22.57273151,88.43062927,10,-54.248,,3.490,119,,40,,
T,2021-09-06 14:28:19,22.57271136,88.43066687,10,-54.178,,4.270,116,,40,,
T,2021-09-06 14:28:20,22.57269654,88.43070772,10,-54.206,,4.430,114,,40,,
T,2021-09-06 14:28:21,22.57267064,88.43075096,10,-54.222,,5.380,117,,40,,
T,2021-09-06 14:28:22,22.57264030,88.43080425,10,-54.225,,5.760,119,,40,,
T,2021-09-06 14:28:23,22.57261617,88.43084954,10,-53.867,,5.330,118,,40,,
T,2021-09-06 14:28:24,22.57258930,88.43090432,10,-54.205,,5.270,117,,40,,
T,2021-09-06 14:28:25,22.57256814,88.43096363,10,-53.666,,6.180,116,,40,,
T,2021-09-06 14:28:26,22.57254661,88.43101303,10,-53.780,,6.150,117,,40,,
T,2021-09-06 14:28:27,22.57251831,88.43107251,10,-52.927,,6.260,119,,40,,
T,2021-09-06 14:28:28,22.57248724,88.43114636,10,-53.196,,6.310,119,,40,,
T,2021-09-06 14:28:29,22.57245954,88.43120544,10,-52.984,,6.570,117,,40,,
T,2021-09-06 14:28:30,22.57244312,88.43126551,10,-53.520,,6.610,114,,40,,
T,2021-09-06 14:28:31,22.57241901,88.43131954,10,-53.032,,6.550,120,,40,,
T,2021-09-06 14:28:32,22.57238844,88.43137252,11,-53.501,,6.030,123,,40,,
T,2021-09-06 14:28:33,22.57237910,88.43140842,11,-53.842,,4.040,119,,40,,
T,2021-09-06 14:28:34,22.57237946,88.43143741,11,-53.164,,2.720,103,,40,,
T,2021-09-06 14:28:35,22.57237669,88.43146643,12,-52.561,,2.580,108,,40,,
T,2021-09-06 14:28:36,22.57237024,88.43146240,12,-52.035,,0.580,121,,40,,
T,2021-09-06 14:28:37,22.57236227,88.43145670,12,-50.540,,0.950,207,,40,,
T,2021-09-06 14:28:38,22.57236375,88.43145568,12,-49.769,,0.590,203,,40,,
T,2021-09-06 14:28:39,22.57236246,88.43144905,12,-49.577,,0.180,121,,40,,
T,2021-09-06 14:28:40,22.57235163,88.43145470,13,-49.306,,0.180,121,,40,,
T,2021-09-06 14:28:41,22.57235638,88.43146629,13,-48.774,,0.480,87,,40,,
T,2021-09-06 14:28:42,22.57234573,88.43147535,14,-49.492,,0.780,112,,40,,
T,2021-09-06 14:28:43,22.57233538,88.43148205,13,-48.912,,1.220,136,,40,,
T,2021-09-06 14:28:44,22.57233092,88.43149645,12,-49.156,,1.400,115,,40,,
T,2021-09-06 14:28:45,22.57232178,88.43151920,11,-48.948,,2.550,116,,40,,
T,2021-09-06 14:28:46,22.57231456,88.43154237,11,-49.055,,2.580,116,,40,,
T,2021-09-06 14:28:47,22.57230638,88.43156903,11,-48.610,,3.070,120,,40,,
T,2021-09-06 14:28:48,22.57229406,88.43159915,10,-50.634,,3.550,122,,40,,
T,2021-09-06 14:28:49,22.57228031,88.43163342,10,-50.594,,3.820,123,,40,,
T,2021-09-06 14:28:50,22.57226647,88.43167061,10,-50.578,,4.070,120,,40,,
T,2021-09-06 14:28:51,22.57225141,88.43171417,10,-51.212,,4.490,118,,40,,
T,2021-09-06 14:28:52,22.57223666,88.43175537,10,-52.390,,4.010,118,,40,,
T,2021-09-06 14:28:53,22.57222155,88.43179451,10,-52.240,,4.070,119,,40,,
T,2021-09-06 14:28:54,22.57220561,88.43182666,10,-52.713,,3.530,122,,40,,
T,2021-09-06 14:28:55,22.57219122,88.43185664,10,-53.114,,3.550,122,,40,,
T,2021-09-06 14:28:56,22.57217781,88.43188560,10,-53.643,,3.430,122,,40,,
T,2021-09-06 14:28:57,22.57216666,88.43191148,10,-53.910,,3.280,120,,40,,
T,2021-09-06 14:28:58,22.57215554,88.43193460,10,-53.730,,2.870,120,,40,,
T,2021-09-06 14:28:59,22.57214502,88.43195389,10,-53.370,,2.560,121,,40,,
T,2021-09-06 14:29:00,22.57213322,88.43197638,10,-52.108,,2.720,122,,40,,
T,2021-09-06 14:29:01,22.57212310,88.43199806,10,-51.863,,2.130,121,,40,,
T,2021-09-06 14:29:02,22.57211598,88.43201514,10,-51.177,,1.540,118,,40,,
