type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-01-08 06:18:48,22.57180424,88.42664989,2,-50.000,,0.000,,24,27,20220108-114848,GPS Logger: 20220108-114848
T,2022-01-08 06:18:49,22.57180424,88.42664989,2,-50.000,,0.000,,24,27,,
T,2022-01-08 06:18:50,22.57180424,88.42664989,2,-50.000,,0.000,,23,27,,
T,2022-01-08 06:18:51,22.57179859,88.42664637,3,-51.000,,0.580,218,24,27,,
T,2022-01-08 06:18:52,22.57179243,88.42664469,3,-51.000,,1.020,194,22,26,,
T,2022-01-08 06:18:53,22.57178128,88.42663991,3,-50.000,,1.630,197,22,27,,
T,2022-01-08 06:18:54,22.57176958,88.42663153,3,-50.000,,1.530,201,23,28,,
T,2022-01-08 06:18:55,22.57175890,88.42662290,3,-50.000,,1.430,202,20,27,,
T,2022-01-08 06:18:56,22.57174679,88.42661276,3,-51.000,,1.470,208,22,28,,
T,2022-01-08 06:18:57,22.57173669,88.42660504,3,-51.000,,1.300,213,23,29,,
T,2022-01-08 06:18:58,22.57173032,88.42659893,3,-51.000,,0.850,212,23,29,,
T,2022-01-08 06:18:59,22.57172592,88.42659976,3,-51.000,,0.460,213,22,28,,
T,2022-01-08 06:19:00,22.57172026,88.42659649,3,-52.000,,0.930,211,23,29,,
T,2022-01-08 06:19:01,22.57170961,88.42659289,3,-52.000,,1.770,201,24,29,,
T,2022-01-08 06:19:02,22.57168811,88.42658401,3,-52.000,,3.140,204,24,28,,
T,2022-01-08 06:19:03,22.57166326,88.42656741,3,-52.000,,3.600,209,21,27,,
T,2022-01-08 06:19:04,22.57163225,88.42655098,3,-52.000,,3.890,207,22,26,,
T,2022-01-08 06:19:05,22.57160153,88.42653070,3,-53.000,,4.100,207,23,26,,
T,2022-01-08 06:19:06,22.57156624,88.42651318,3,-53.000,,3.510,209,22,26,,
T,2022-01-08 06:19:07,22.57153016,88.42649130,3,-54.000,,4.800,208,20,26,,
T,2022-01-08 06:19:08,22.57148121,88.42646440,3,-54.000,,5.500,206,23,27,,
T,2022-01-08 06:19:09,22.57143330,88.42643992,3,-54.000,,5.260,206,22,29,,
T,2022-01-08 06:19:10,22.57138984,88.42641570,3,-55.000,,5.440,206,23,28,,
T,2022-01-08 06:19:11,22.57134487,88.42639692,3,-56.000,,5.510,204,24,27,,
T,2022-01-08 06:19:12,22.57129752,88.42637404,3,-57.000,,5.910,205,23,27,,
T,2022-01-08 06:19:13,22.57124970,88.42635375,3,-57.000,,5.970,206,23,26,,
T,2022-01-08 06:19:14,22.57120284,88.42633129,3,-57.000,,5.380,207,23,28,,
T,2022-01-08 06:19:15,22.57116286,88.42631252,3,-57.000,,4.360,206,21,27,,
T,2022-01-08 06:19:16,22.57112816,88.42629064,3,-57.000,,3.780,209,23,27,,
T,2022-01-08 06:19:17,22.57109832,88.42626859,3,-57.000,,3.450,207,24,27,,
T,2022-01-08 06:19:18,22.57107179,88.42625024,3,-57.000,,2.740,208,23,26,,
T,2022-01-08 06:19:19,22.57105302,88.42623817,3,-57.000,,2.380,208,24,26,,
T,2022-01-08 06:19:20,22.57103868,88.42622794,3,-57.000,,1.370,207,24,27,,
T,2022-01-08 06:19:21,22.57103059,88.42622140,3,-57.000,,0.600,205,23,27,,
T,2022-01-08 06:19:22,22.57102779,88.42622057,3,-57.000,,0.340,204,23,28,,
T,2022-01-08 06:19:23,22.57102770,88.42622551,3,-57.000,,0.170,203,20,26,,
T,2022-01-08 06:19:24,22.57103097,88.42623138,3,-58.000,,0.000,,22,26,,
T,2022-01-08 06:19:25,22.57103097,88.42623138,3,-58.000,,0.000,,21,26,,
T,2022-01-08 06:19:26,22.57103097,88.42623138,3,-58.000,,0.000,,23,28,,
T,2022-01-08 06:19:27,22.57103097,88.42623138,3,-58.000,,0.000,,22,28,,
T,2022-01-08 06:19:28,22.57103097,88.42623138,3,-58.000,,0.000,,23,29,,
T,2022-01-08 06:19:29,22.57103097,88.42623138,3,-58.000,,0.000,,24,28,,
T,2022-01-08 06:19:30,22.57103097,88.42623138,3,-58.000,,0.000,,21,28,,
T,2022-01-08 06:19:31,22.57103097,88.42623138,3,-58.000,,0.000,,23,29,,
T,2022-01-08 06:19:32,22.57103097,88.42623138,3,-58.000,,0.000,,21,28,,
