type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-01-08 06:18:56,22.57171253,88.42655241,10,-53.406,,0.000,,12,29,20220108-114856,GPS Logger: 20220108-114856 - Subhra da Ayan data
T,2022-01-08 06:18:57,22.57171148,88.42655335,10,-54.042,,0.000,,12,29,,
T,2022-01-08 06:18:58,22.57171050,88.42655414,10,-54.103,,0.000,,13,29,,
T,2022-01-08 06:18:59,22.57170639,88.42655266,10,-54.347,,0.670,211,11,27,,
T,2022-01-08 06:19:00,22.57169542,88.42654330,10,-54.186,,1.900,217,13,29,,
T,2022-01-08 06:19:01,22.57167666,88.42652779,10,-54.832,,2.790,219,12,28,,
T,2022-01-08 06:19:02,22.57165357,88.42650964,10,-55.942,,2.970,216,12,27,,
T,2022-01-08 06:19:03,22.57162876,88.42649131,10,-56.502,,3.230,213,13,29,,
T,2022-01-08 06:19:04,22.57159822,88.42647017,11,-55.283,,4.260,210,12,28,,
T,2022-01-08 06:19:05,22.57156281,88.42644937,11,-55.062,,4.300,207,14,29,,
T,2022-01-08 06:19:06,22.57152489,88.42642973,10,-55.317,,4.540,205,14,28,,
T,2022-01-08 06:19:07,22.57148485,88.42641018,10,-56.045,,4.750,206,13,27,,
T,2022-01-08 06:19:08,22.57143222,88.42639156,10,-57.220,,5.290,206,14,27,,
T,2022-01-08 06:19:09,22.57138185,88.42636930,10,-56.092,,5.740,206,14,28,,
T,2022-01-08 06:19:10,22.57133275,88.42634543,10,-56.802,,6.080,205,14,29,,
T,2022-01-08 06:19:11,22.57127880,88.42632444,10,-56.095,,6.410,205,13,27,,
T,2022-01-08 06:19:12,22.57121978,88.42629888,10,-56.240,,6.620,206,12,28,,
T,2022-01-08 06:19:13,22.57116520,88.42626410,10,-55.352,,6.630,206,12,28,,
T,2022-01-08 06:19:14,22.57111900,88.42623566,10,-55.222,,6.100,206,12,28,,
T,2022-01-08 06:19:15,22.57107254,88.42621477,10,-54.948,,5.280,204,13,28,,
T,2022-01-08 06:19:16,22.57104527,88.42618689,10,-53.793,,4.240,204,13,27,,
T,2022-01-08 06:19:17,22.57101978,88.42617507,10,-53.151,,2.620,203,15,29,,
T,2022-01-08 06:19:18,22.57100276,88.42617715,10,-54.168,,0.910,202,13,27,,
T,2022-01-08 06:19:19,22.57099991,88.42617504,10,-54.723,,0.000,,15,28,,
T,2022-01-08 06:19:20,22.57099659,88.42617397,10,-54.764,,0.000,,14,26,,
T,2022-01-08 06:19:21,22.57099816,88.42617044,10,-54.933,,0.000,,17,29,,
T,2022-01-08 06:19:22,22.57099335,88.42617116,10,-54.566,,0.000,,15,29,,
T,2022-01-08 06:19:23,22.57099229,88.42616947,10,-54.661,,0.000,,15,29,,
T,2022-01-08 06:19:24,22.57099019,88.42616841,10,-54.638,,0.000,,15,29,,
T,2022-01-08 06:19:25,22.57098814,88.42616826,10,-54.572,,0.000,,14,28,,
T,2022-01-08 06:19:26,22.57098713,88.42616774,11,-54.685,,0.000,,13,29,,
T,2022-01-08 06:19:27,22.57098609,88.42616723,11,-54.601,,0.000,,12,28,,
T,2022-01-08 06:19:28,22.57098702,88.42616555,11,-54.388,,0.000,,13,29,,
T,2022-01-08 06:19:29,22.57098744,88.42616528,11,-54.116,,0.000,,14,29,,
T,2022-01-08 06:19:30,22.57098813,88.42616477,11,-54.013,,0.000,,13,28,,
T,2022-01-08 06:19:31,22.57098853,88.42616454,11,-53.955,,0.000,,12,27,,
T,2022-01-08 06:19:32,22.57098875,88.42616428,10,-53.921,,0.000,,14,29,,
T,2022-01-08 06:19:33,22.57098875,88.42616424,10,-53.915,,0.000,,14,28,,
T,2022-01-08 06:19:34,22.57098880,88.42616418,10,-53.904,,0.000,,15,29,,
T,2022-01-08 06:19:35,22.57098881,88.42616414,10,-53.903,,0.000,,12,26,,
T,2022-01-08 06:19:36,22.57098051,88.42615915,10,-53.938,,1.280,200,14,27,,
T,2022-01-08 06:19:37,22.57096754,88.42615309,4,-53.694,,2.240,192,17,29,,
T,2022-01-08 06:19:38,22.57094128,88.42615780,4,-54.160,,2.650,178,15,26,,
T,2022-01-08 06:19:39,22.57091680,88.42617175,4,-54.700,,2.500,158,17,29,,
T,2022-01-08 06:19:40,22.57089748,88.42619998,4,-54.427,,3.080,133,16,27,,
T,2022-01-08 06:19:41,22.57088375,88.42622703,4,-53.847,,3.520,116,15,25,,
T,2022-01-08 06:19:42,22.57086455,88.42627187,4,-54.629,,4.600,114,13,24,,
T,2022-01-08 06:19:43,22.57084588,88.42631621,4,-55.036,,4.790,112,17,27,,
T,2022-01-08 06:19:44,22.57083000,88.42636071,4,-55.499,,4.830,113,14,25,,
T,2022-01-08 06:19:45,22.57081008,88.42641650,4,-55.767,,5.330,115,16,28,,
T,2022-01-08 06:19:46,22.57078862,88.42646739,4,-55.530,,5.860,116,14,25,,
T,2022-01-08 06:19:47,22.57074782,88.42652876,4,-54.497,,6.620,118,18,29,,
T,2022-01-08 06:19:48,22.57071778,88.42658877,4,-54.701,,7.120,119,13,24,,
T,2022-01-08 06:19:49,22.57068627,88.42665212,4,-54.756,,7.510,118,18,27,,
T,2022-01-08 06:19:50,22.57065074,88.42672605,4,-55.418,,7.930,117,18,28,,
T,2022-01-08 06:19:51,22.57061705,88.42680181,4,-55.723,,8.330,116,17,28,,
T,2022-01-08 06:19:52,22.57058980,88.42687417,4,-55.701,,8.450,116,15,27,,
T,2022-01-08 06:19:53,22.57055722,88.42695297,4,-56.190,,8.680,115,16,28,,
T,2022-01-08 06:19:54,22.57051694,88.42703540,4,-56.197,,9.000,116,15,28,,
T,2022-01-08 06:19:55,22.57047688,88.42711614,4,-55.895,,9.110,117,15,25,,
T,2022-01-08 06:19:56,22.57043277,88.42720060,4,-56.151,,9.250,117,16,28,,
T,2022-01-08 06:19:57,22.57039730,88.42728148,4,-56.514,,8.980,118,13,25,,
T,2022-01-08 06:19:58,22.57036387,88.42735820,4,-56.628,,9.380,118,15,25,,
T,2022-01-08 06:19:59,22.57032733,88.42743532,4,-56.191,,9.250,117,15,27,,
T,2022-01-08 06:20:00,22.57029134,88.42751575,4,-56.016,,9.710,116,16,28,,
T,2022-01-08 06:20:01,22.57025227,88.42759888,4,-55.428,,9.760,117,15,28,,
T,2022-01-08 06:20:02,22.57020639,88.42768766,4,-55.295,,9.760,117,16,28,,
T,2022-01-08 06:20:03,22.57016971,88.42776182,4,-55.720,,8.950,118,16,27,,
T,2022-01-08 06:20:04,22.57013567,88.42784103,4,-55.899,,9.150,118,15,26,,
T,2022-01-08 06:20:05,22.57009655,88.42792196,4,-56.335,,8.850,117,15,27,,
T,2022-01-08 06:20:06,22.57006709,88.42799700,4,-55.363,,8.430,116,16,27,,
T,2022-01-08 06:20:07,22.57003920,88.42807234,4,-55.617,,8.260,115,13,25,,
T,2022-01-08 06:20:08,22.57000705,88.42814690,4,-55.948,,8.060,115,16,28,,
T,2022-01-08 06:20:09,22.56998464,88.42821722,4,-56.414,,8.210,115,17,29,,
T,2022-01-08 06:20:10,22.56995452,88.42829393,4,-56.266,,8.550,116,17,29,,
T,2022-01-08 06:20:11,22.56991395,88.42837678,4,-55.784,,8.740,117,15,27,,
T,2022-01-08 06:20:12,22.56988148,88.42845688,4,-55.612,,8.760,117,16,29,,
T,2022-01-08 06:20:13,22.56984950,88.42852894,4,-55.692,,9.060,117,12,26,,
T,2022-01-08 06:20:14,22.56981064,88.42861407,4,-55.484,,9.120,117,15,28,,
T,2022-01-08 06:20:15,22.56977234,88.42869085,4,-55.974,,9.030,117,14,28,,
T,2022-01-08 06:20:16,22.56973600,88.42876691,4,-55.545,,8.960,117,14,27,,
T,2022-01-08 06:20:17,22.56970858,88.42883266,4,-55.743,,8.480,118,14,27,,
T,2022-01-08 06:20:18,22.56967551,88.42890481,4,-55.682,,7.880,118,14,27,,
T,2022-01-08 06:20:19,22.56964301,88.42896921,4,-55.247,,7.550,118,13,26,,
T,2022-01-08 06:20:20,22.56960744,88.42903739,4,-56.008,,7.370,118,13,25,,
T,2022-01-08 06:20:21,22.56957985,88.42910478,4,-56.508,,7.290,116,14,27,,
T,2022-01-08 06:20:22,22.56955321,88.42916702,4,-57.242,,7.430,114,13,27,,
T,2022-01-08 06:20:23,22.56952313,88.42923132,4,-57.629,,8.060,114,13,27,,
T,2022-01-08 06:20:24,22.56949241,88.42929742,4,-58.016,,7.990,116,13,26,,
T,2022-01-08 06:20:25,22.56946126,88.42937712,4,-58.259,,8.410,116,13,26,,
T,2022-01-08 06:20:26,22.56943054,88.42945851,4,-58.276,,8.750,116,14,27,,
T,2022-01-08 06:20:27,22.56940400,88.42953533,4,-58.923,,9.270,115,15,27,,
T,2022-01-08 06:20:28,22.56935723,88.42961781,4,-59.240,,9.550,116,17,29,,
T,2022-01-08 06:20:29,22.56931996,88.42970024,4,-59.414,,9.670,117,14,25,,
T,2022-01-08 06:20:30,22.56928461,88.42979214,4,-59.329,,10.440,116,15,28,,
T,2022-01-08 06:20:31,22.56923159,88.42989154,4,-58.354,,10.440,117,14,28,,
T,2022-01-08 06:20:32,22.56918215,88.42998218,4,-59.106,,11.020,117,15,28,,
T,2022-01-08 06:20:33,22.56916408,88.43006714,4,-58.900,,10.300,117,11,24,,
T,2022-01-08 06:20:34,22.56912403,88.43015611,4,-59.593,,10.080,117,14,27,,
T,2022-01-08 06:20:35,22.56908662,88.43023590,4,-60.187,,9.110,117,13,27,,
T,2022-01-08 06:20:36,22.56905430,88.43032285,4,-60.037,,9.040,116,13,27,,
T,2022-01-08 06:20:37,22.56902390,88.43039775,4,-57.914,,8.630,114,13,28,,
T,2022-01-08 06:20:38,22.56900447,88.43045939,4,-56.821,,7.420,109,16,29,,
T,2022-01-08 06:20:39,22.56898526,88.43052240,4,-56.610,,6.680,102,15,27,,
T,2022-01-08 06:20:40,22.56898538,88.43056887,4,-56.140,,5.610,86,15,23,,
T,2022-01-08 06:20:41,22.56899657,88.43062680,4,-56.128,,5.810,61,17,28,,
T,2022-01-08 06:20:42,22.56903318,88.43065286,4,-57.452,,5.620,35,16,28,,
T,2022-01-08 06:20:43,22.56908854,88.43067569,4,-58.634,,6.360,27,16,28,,
T,2022-01-08 06:20:44,22.56913223,88.43070116,4,-58.531,,5.940,28,16,26,,
T,2022-01-08 06:20:45,22.56920179,88.43073386,4,-58.748,,7.970,27,16,29,,
T,2022-01-08 06:20:46,22.56927173,88.43076649,4,-58.926,,8.280,26,15,27,,
T,2022-01-08 06:20:47,22.56934907,88.43080575,4,-59.652,,8.680,26,16,27,,
T,2022-01-08 06:20:48,22.56941907,88.43084394,4,-58.713,,8.900,26,16,25,,
T,2022-01-08 06:20:49,22.56948357,88.43088356,4,-58.106,,9.080,27,14,25,,
T,2022-01-08 06:20:50,22.56956893,88.43092674,4,-57.280,,9.420,26,17,26,,
T,2022-01-08 06:20:51,22.56963904,88.43096895,4,-57.153,,9.610,26,16,24,,
T,2022-01-08 06:20:52,22.56970908,88.43100576,4,-56.307,,8.890,26,14,22,,
T,2022-01-08 06:20:53,22.56978183,88.43104274,4,-55.432,,9.650,26,17,26,,
