type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-08-21 14:07:23,22.51648831,88.35971627,11,-49.829,,4.400,83,16,30,20210821-193518,GPS Logger: 20210821-193518 - Shrayan-2
T,2021-08-21 14:07:24,22.51649604,88.35975983,11,-47.954,,4.140,84,18,31,,
T,2021-08-21 14:07:25,22.51650417,88.35980124,11,-48.706,,3.990,83,18,31,,
T,2021-08-21 14:07:26,22.51651293,88.35984176,11,-50.108,,4.020,82,19,31,,
T,2021-08-21 14:07:27,22.51651763,88.35988477,10,-49.251,,4.090,83,18,27,,
T,2021-08-21 14:07:28,22.51652248,88.35992282,10,-48.287,,3.380,86,19,27,,
T,2021-08-21 14:07:29,22.51652449,88.35995502,10,-47.038,,3.210,86,20,27,,
T,2021-08-21 14:07:30,22.51652589,88.35998611,10,-46.539,,3.210,85,19,27,,
T,2021-08-21 14:07:31,22.51652780,88.36002426,10,-47.623,,4.020,84,19,27,,
T,2021-08-21 14:07:32,22.51652975,88.36006986,10,-48.877,,4.270,86,19,27,,
T,2021-08-21 14:07:33,22.51653374,88.36011674,10,-49.349,,4.260,87,18,27,,
T,2021-08-21 14:07:34,22.51653793,88.36016199,10,-47.675,,4.190,85,19,27,,
T,2021-08-21 14:07:35,22.51654460,88.36020694,11,-47.670,,4.220,83,19,27,,
T,2021-08-21 14:07:36,22.51655122,88.36025082,11,-47.616,,4.120,82,18,27,,
T,2021-08-21 14:07:37,22.51655572,88.36028881,11,-46.850,,3.540,84,20,27,,
T,2021-08-21 14:07:38,22.51655341,88.36030732,10,-47.384,,2.170,92,21,27,,
T,2021-08-21 14:07:39,22.51654252,88.36032321,10,-46.668,,2.550,111,22,27,,
T,2021-08-21 14:07:40,22.51652362,88.36033406,10,-46.849,,2.390,138,22,27,,
T,2021-08-21 14:07:41,22.51649095,88.36034072,10,-46.528,,3.480,154,22,27,,
T,2021-08-21 14:07:42,22.51645254,88.36034754,10,-47.687,,3.710,160,22,27,,
T,2021-08-21 14:07:43,22.51641286,88.36035387,10,-47.166,,3.930,162,22,27,,
T,2021-08-21 14:07:44,22.51636920,88.36035765,10,-47.012,,4.500,166,21,27,,
T,2021-08-21 14:07:45,22.51632190,88.36036199,10,-46.356,,4.640,171,21,27,,
T,2021-08-21 14:07:46,22.51627414,88.36036227,10,-47.190,,4.570,176,20,27,,
T,2021-08-21 14:07:47,22.51622602,88.36036136,10,-47.139,,4.800,177,21,27,,
T,2021-08-21 14:07:48,22.51614731,88.36036150,10,-47.510,,5.930,171,20,27,,
T,2021-08-21 14:07:49,22.51610200,88.36037290,11,-47.334,,5.040,171,21,27,,
T,2021-08-21 14:07:50,22.51606154,88.36037857,11,-46.949,,4.780,172,21,27,,
T,2021-08-21 14:07:51,22.51602460,88.36039866,11,-45.690,,4.170,172,21,27,,
