Phase,Start,Duration,End,headwayDelay,Count,cumtime,identifier,qPos
r,18:21:29,,18:22:56,,,,,
g,18:22:56,,18:23:29,5,4,,,
r,18:23:29,,18:25:11,,,,,
g,18:25:11,,18:25:44,9,8,,,
r,18:25:44,,18:27:26,,,,,
g,18:27:26,,18:28:00,2,12,,2,3
r,18:28:00,,18:29:41,,,,,
g,18:29:41,,18:31:15,3,26,,,
r,18:31:15,,18:32:16,,,,,
g,18:32:16,,18:32:50,3,8,,2,4
r,18:32:50,,18:34:31,,,,,
g,18:34:31,,18:35:05,3,6,,,
r,18:35:05,,18:36:46,,,,,
g,18:36:46,,18:37:40,2,13,,2,7
r,18:37:40,,18:39:23,,,,,
g,18:39:23,,18:39:55,3,8,,2,8
r,18:39:55,,18:41:32,,,,,
g,18:41:32,,18:42:11,5,7,,,
r,18:42:11,,18:43:52,,,,,
g,18:43:52,,18:45:04,9,17,,2,12
r,18:45:04,,18:46:28,,,,,
g,18:46:28,,18:47:11,5,6,,,
r,18:47:11,,18:48:54,,,,,
g,18:48:54,,18:49:27,8,7,,2,3
r,18:49:27,,18:51:09,,,,,
g,18:51:09,,18:51:42,4,9,,,
r,18:51:42,,18:53:24,,,,,
g,18:53:24,,18:53:56,4,8,,2,6
r,18:53:56,,18:55:29,,,,,
g,18:55:29,,18:56:19,3,15,,,
