,Traj_no,Dates,Start,End,Count,HeadDelay,est_LinkCount,gPhaseDuration,gRatio,rPhaseDuration,Penetration_rate
0,0,29/08/2021,29/08/2021 18.32,29/08/2021 18.32,3,3,8.144888889,28,0.266666667,77,6.25
1,2,29/08/2021,29/08/2021 18.33,29/08/2021 18.34,9,6,11.08230994,49,0.429824561,65,6.25
2,0,29/08/2021,29/08/2021 18.35,29/08/2021 18.36,9,6,8.981132075,56,0.528301887,50,6.25
3,3,29/08/2021,29/08/2021 18.37,29/08/2021 18.38,8,11,8.682681452,47,0.379032258,77,6.25
4,0,29/08/2021,29/08/2021 18.39,29/08/2021 18.39,5,5,6.493817204,35,0.376344086,58,6.25
5,0,29/08/2021,29/08/2021 18.40,29/08/2021 18.41,2,6,4.2,20,0.294117647,48,6.25
6,4,29/08/2021,29/08/2021 18.42,29/08/2021 18.43,12,3,8.48232,44,0.352,81,6.25
7,1,30/08/2021,30/08/2021 11.50,30/08/2021 11.51,9,12,12.64171233,47,0.321917808,99,3
8,0,30/08/2021,30/08/2021 11.52,30/08/2021 11.53,5,5,8.18125,30,0.3125,66,3
9,0,30/08/2021,30/08/2021 11.54,30/08/2021 11.55,10,5,12.32922886,49,0.365671642,85,3
10,0,30/08/2021,30/08/2021 11.58,30/08/2021 11.59,9,4,11.26598361,45,0.368852459,77,3
11,0,30/08/2021,30/08/2021 12.02,30/08/2021 12.02,6,6,5.872727273,20,0.25974026,57,3
12,0,30/08/2021,30/08/2021 12.03,30/08/2021 12.03,6,8,6.328636364,27,0.409090909,39,3
13,0,30/08/2021,30/08/2021 12.03,30/08/2021 12.04,4,5,3.269494949,17,0.515151515,16,3
14,4,30/08/2021,30/08/2021 12.04,30/08/2021 12.05,7,5,7.12913242,32,0.438356164,41,3
15,0,30/08/2021,30/08/2021 12.05,30/08/2021 12.06,5,4,5.332240437,20,0.327868852,41,3
16,0,30/08/2021,30/08/2021 12.07,30/08/2021 12.07,9,3,8.233139535,35,0.406976744,51,3
17,0,30/08/2021,30/08/2021 12.08,30/08/2021 12.09,4,25,10.115,51,0.5,51,3
18,0,30/08/2021,30/08/2021 16.29,30/08/2021 16.30,7,5,5.441988304,23,0.403508772,34,3
19,0,30/08/2021,30/08/2021 16.31,30/08/2021 16.32,8,8,11.63555556,44,0.333333333,88,3
20,0,30/08/2021,30/08/2021 16.34,30/08/2021 16.35,5,4,6.611111111,25,0.333333333,50,3
21,6,30/08/2021,30/08/2021 16.36,30/08/2021 16.37,6,5,10.81818182,50,0.454545455,60,3
22,0,06/09/2021,06/09/2021 20.01,06/09/2021 20.01,4,8,4.030645161,42,0.677419355,20,5.56
23,0,06/09/2021,06/09/2021 20.03,06/09/2021 20.03,6,5,5.355,24,0.25,72,5.56
24,1,06/09/2021,06/09/2021 20.04,06/09/2021 20.05,5,4,7.553666667,43,0.40952381,62,5.56
25,0,06/09/2021,06/09/2021 20.06,06/09/2021 20.06,2,6,4.318125,21,0.308823529,47,5.56
26,0,06/09/2021,06/09/2021 20.07,06/09/2021 20.08,13,4,7.044375,34,0.303571429,78,5.56
27,2,06/09/2021,06/09/2021 20.08,06/09/2021 20.09,5,5,5.0203125,27,0.375,45,5.56
28,0,06/09/2021,06/09/2021 20.11,06/09/2021 20.11,6,5,7.549342105,27,0.177631579,125,5.56
29,3,06/09/2021,06/09/2021 20.13,06/09/2021 20.14,9,6,10.06923077,33,0.230769231,110,5.56
30,0,06/09/2021,06/09/2021 20.15,06/09/2021 20.16,11,4,12.59489051,50,0.364963504,87,5.56
31,4,06/09/2021,06/09/2021 20.17,06/09/2021 20.18,6,6,9.300789474,33,0.289473684,81,5.56
32,0,06/09/2021,06/09/2021 20.20,06/09/2021 20.20,9,3,10.04795775,33,0.232394366,109,5.56
33,5,06/09/2021,06/09/2021 20.22,06/09/2021 20.23,12,3,10.50891204,35,0.243055556,109,5.56
34,0,06/09/2021,06/09/2021 20.25,06/09/2021 20.25,7,6,9.00405,33,0.235714286,107,5.56
35,0,06/09/2021,06/09/2021 20.26,06/09/2021 20.27,7,5,7.14,33,0.333333333,66,5.56
36,6,06/09/2021,06/09/2021 20.28,06/09/2021 20.29,6,4,7.24625,33,0.261904762,93,5.56
37,1,04/10/2021,04/10/2021 18.36,04/10/2021 18.36,4,7,8.759381443,34,0.350515464,63,7.26
38,0,04/10/2021,04/10/2021 18.37,04/10/2021 18.38,9,5,9.475514019,36,0.336448598,71,7.26
39,2,04/10/2021,04/10/2021 18.39,04/10/2021 18.39,5,11,7.894634146,34,0.414634146,48,7.26
40,3,04/10/2021,04/10/2021 18.41,04/10/2021 18.42,10,3,12.07346939,60,0.408163265,87,7.26
41,4,04/10/2021,04/10/2021 18.43,04/10/2021 18.44,9,4,9.714285714,40,0.285714286,100,7.26
42,0,04/10/2021,04/10/2021 18.46,04/10/2021 18.46,4,6,6.482758621,25,0.210084034,94,7.26
43,0,04/10/2021,04/10/2021 18.47,04/10/2021 18.48,6,2,6.300509091,26,0.236363636,84,7.26
