,Traj_no,Observed_true,Leader_true,Follower_true,estObserved,estLeader,estFollower,sAccuracy,Dates,Ob_Tr_dt,Ob_Le_dt,Ob_Fo_dt,Ob_Le_H,Ob_Fo_H,Est_Tr_dt,Est_Le_dt,Est_Fo_dt,IndexOfTimedf,PhaseDuration,rPhaseDuration,HeadDelay,LinkCount,PhaseStart,PhaseEnd,gRatio,rRatio,Est_Le_H,Est_Fo_H,Ob_lambda,EffectiveTimeRatio,WastedTimeRatio,est_lambda,est_LinkCount
0,1.0,11:55:02,11:55:00,11:55:04,11:55:02,11:54:59,11:55:05,3.3389830508474576,2022-01-08,2022-01-08 11:55:02,2022-01-08 11:55:00,2022-01-08 11:55:04,2.0,2.0,2022-01-08 11:55:02,2022-01-08 11:54:59,2022-01-08 11:55:05,[5],25.0,47.0,7.0,5.0,2022-01-08 11:54:51,2022-01-08 11:55:16,0.3472222222222222,0.6527777777777778,3.0,3.0,2.0,0.72,0.28,3.0,6.473379629629629
1,2.0,11:58:41,11:58:39,NO,11:58:41,11:58:38,11:58:45,3.6184210526315783,2022-01-08,2022-01-08 11:58:41,2022-01-08 11:58:39,NO,2.0,NO,2022-01-08 11:58:41,2022-01-08 11:58:38,2022-01-08 11:58:45,[11],20.0,61.00000000000001,11.0,4.0,2022-01-08 11:58:23,2022-01-08 11:58:43,0.24691358024691357,0.7530864197530865,3.0,NE,2.0,0.45,0.55,3.0,5.974485596707819
2,3.0,12:02:05,12:02:03,12:02:08,12:02:05,12:01:54,12:02:09,3.2153846153846155,2022-01-08,2022-01-08 12:02:05,2022-01-08 12:02:03,2022-01-08 12:02:08,2.0,3.0,2022-01-08 12:02:05,2022-01-08 12:01:54,2022-01-08 12:02:09,[17],20.0,36.0,6.0,5.0,2022-01-08 12:01:55,2022-01-08 12:02:15,0.35714285714285715,0.6428571428571429,NE,4.0,2.5,0.7,0.3,4.0,3.825
3,4.0,12:04:54,12:04:52,NO,12:04:54,12:04:52,12:04:58,3.0789473684210527,2022-01-08,2022-01-08 12:04:54,2022-01-08 12:04:52,NO,2.0,NO,2022-01-08 12:04:54,2022-01-08 12:04:52,2022-01-08 12:04:58,[21],25.0,76.0,11.0,4.0,2022-01-08 12:04:33,2022-01-08 12:04:58,0.24752475247524752,0.7524752475247525,2.0,NE,2.0,0.56,0.44,3.0,7.462046204620461
4,5.0,12:08:44,12:08:42,12:08:47,12:08:44,12:07:52,12:08:48,3.8947368421052633,2022-01-08,2022-01-08 12:08:44,2022-01-08 12:08:42,2022-01-08 12:08:47,2.0,3.0,2022-01-08 12:08:44,2022-01-08 12:07:52,2022-01-08 12:08:48,[27],29.000000000000004,49.0,6.0,6.0,2022-01-08 12:08:36,2022-01-08 12:09:05,0.37179487179487186,0.6282051282051282,NE,4.0,2.5,0.7931034482758621,0.2068965517241379,4.0,5.419839743589744
5,6.0,12:11:29,12:11:27,12:11:35,12:11:29,12:11:25,12:11:33,3.2777777777777777,2022-01-08,2022-01-08 12:11:29,2022-01-08 12:11:27,2022-01-08 12:11:35,2.0,6.0,2022-01-08 12:11:29,2022-01-08 12:11:25,2022-01-08 12:11:33,[31],45.0,63.00000000000001,9.0,4.0,2022-01-08 12:11:18,2022-01-08 12:12:03,0.4166666666666667,0.5833333333333334,4.0,4.0,4.0,0.8,0.2,4.0,7.809374999999999
6,1.0,11:55:00,11:54:58,11:55:02,11:55:00,11:54:51,11:55:04,4.0,2022-01-08,2022-01-08 11:55:00,2022-01-08 11:54:58,2022-01-08 11:55:02,2.0,2.0,2022-01-08 11:55:00,2022-01-08 11:54:51,2022-01-08 11:55:04,[5],25.0,47.0,7.0,5.0,2022-01-08 11:54:51,2022-01-08 11:55:16,0.3472222222222222,0.6527777777777778,NE,4.0,2.0,0.72,0.28,4.0,4.855034722222221
7,2.0,11:58:39,11:58:37,11:58:41,11:58:39,11:58:14,11:58:43,4.092105263157895,2022-01-08,2022-01-08 11:58:39,2022-01-08 11:58:37,2022-01-08 11:58:41,2.0,2.0,2022-01-08 11:58:39,2022-01-08 11:58:14,2022-01-08 11:58:43,[11],20.0,61.00000000000001,11.0,4.0,2022-01-08 11:58:23,2022-01-08 11:58:43,0.24691358024691357,0.7530864197530865,NE,NE,2.0,0.45,0.55,0.0,0.0
8,3.0,12:02:03,12:02:01,12:02:05,12:02:03,12:01:52,12:02:07,4.084745762711864,2022-01-08,2022-01-08 12:02:03,2022-01-08 12:02:01,2022-01-08 12:02:05,2.0,2.0,2022-01-08 12:02:03,2022-01-08 12:01:52,2022-01-08 12:02:07,[17],20.0,36.0,6.0,5.0,2022-01-08 12:01:55,2022-01-08 12:02:15,0.35714285714285715,0.6428571428571429,NE,4.0,2.0,0.7,0.3,4.0,3.825
9,4.0,12:04:52,12:04:48,12:04:54,12:04:52,12:04:47,12:04:56,4.171052631578948,2022-01-08,2022-01-08 12:04:52,2022-01-08 12:04:48,2022-01-08 12:04:54,4.0,2.0,2022-01-08 12:04:52,2022-01-08 12:04:47,2022-01-08 12:04:56,[21],25.0,76.0,11.0,4.0,2022-01-08 12:04:33,2022-01-08 12:04:58,0.24752475247524752,0.7524752475247525,5.0,2.0,3.0,0.56,0.44,3.5,6.3960396039603955
